1.5428,0.41536,0.6051,0.69839,0.666,0.84987
0.65965,1.0833,1.1507,0.42835,1.7869,0.53686
1.8706,1.2269,1.1958,0.66894,1.8114,0.77515
1.5089,1.5675,1.9044,1.3807,0.87186,1.5286
1.3933,1.2034,0.73131,0.78614,0.60368,1.9143
1.4483,1.5722,1.6941,1.4456,1.2461,1.3668
1.2689,0.90959,1.7957,0.52395,1.6812,1.9702
1.1799,1.6043,1.0525,0.6474,1.7804,0.7688
1.9958,1.9536,1.9218,1.6213,1.0095,1.6126
1.7517,1.8924,1.866,1.1597,0.97813,1.9306
1.594,0.68108,1.0187,1.0541,0.6427,1.9628
1.9193,1.074,1.5525,0.45055,1.2683,1.5173
1.0519,1.0871,1.6094,0.55691,0.86725,1.6995
1.0111,0.94425,1.815,0.51858,0.9897,0.64491
1.8404,0.81115,1.325,1.1052,1.7344,1.7531
1.1773,1.795,1.9046,0.6108,0.83479,1.296
1.6535,1.9842,1.8802,0.39317,1.2928,1.0571
1.4012,1.5,0.6857,0.4203,0.86307,1.4239
1.5524,1.4699,1.2785,0.87294,1.6129,1.5176
1.216,0.62768,1.4099,0.63787,0.8125,0.88106
