1.9917,1.0153,1.799,1.3247
1.5022,1.7227,1.3341,1.3506
1.4008,1.5932,1.9942,1.983
1.895,1.5012,1.2767,1.2943
0.85076,1.9804,1.6662,1.3457
1.3338,1.4865,1.8811,1.9616
1.3933,0.78906,1.4938,1.5515
0.93398,1.9912,1.5144,1.9822
0.841,1.8621,1.9611,1.7077
1.9107,0.72719,1.6477,1.3109
1.4236,1.909,1.8184,1.1643
0.45053,1.6983,1.7747,1.8529
1.5333,1.8327,1.7889,1.3458
0.90552,1.9303,1.9346,1.9531
1.8725,1.8178,1.9986,1.996
1.5883,1.3997,1.9598,1.8938
0.47694,1.7315,1.8346,1.5409
1.6213,0.2942,1.9252,1.9224
1.9064,1.1731,1.9653,1.9028
1.7689,1.579,1.9661,1.9175
1.9271,1.8549,1.7723,0.90494
1.9854,1.6345,1.852,1.9074
1.2339,1.0337,1.6425,0.79481
1.702,1.9001,1.8589,1.9018
1.2704,0.94676,1.8507,1.923
